LoginTime 	 User 	 LogoutTime01-Sep-2016 08:52:13
 01-Sep-2016 08:52:49 	 aghapi 	01-Sep-2016 14:19:27
 06-Sep-2016 10:43:34 	 aghapi 	07-Sep-2016 10:09:05
 07-Sep-2016 10:11:01 	 aghapi 	07-Sep-2016 16:39:30
 08-Sep-2016 08:59:12 	 aghapi 	08-Sep-2016 17:31:46
 09-Sep-2016 08:25:03 	 aghapi 	09-Sep-2016 16:01:39
 09-Sep-2016 16:02:21 	 aghapi 	09-Sep-2016 16:20:34
 09-Sep-2016 16:20:59 	 aghapi 	09-Sep-2016 16:44:17
 12-Sep-2016 10:40:20 	 aghapi 	
 12-Sep-2016 12:34:15 	 aghapi 	12-Sep-2016 14:16:54
 12-Sep-2016 14:17:22 	 aghapi 	12-Sep-2016 14:21:35
 12-Sep-2016 14:22:09 	 aghapi 	12-Sep-2016 14:32:25
 12-Sep-2016 14:33:22 	 aghapi 	12-Sep-2016 16:58:07
 13-Sep-2016 09:09:38 	 aghapi 	
 13-Sep-2016 11:01:11 	 aghapi 	13-Sep-2016 17:53:48
 15-Sep-2016 10:50:28 	 aghapi 	15-Sep-2016 10:51:32
 15-Sep-2016 10:52:17 	 aghapi 	16-Sep-2016 13:48:51
 16-Sep-2016 13:49:52 	 aghapi 	16-Sep-2016 16:46:20
 19-Sep-2016 09:10:54 	 aghapi 	
 20-Sep-2016 09:53:55 	 aghapi 	
 20-Sep-2016 09:56:22 	 aghapi 	21-Sep-2016 11:30:14
 21-Sep-2016 11:31:21 	 aghapi 	21-Sep-2016 17:10:51
 22-Sep-2016 09:01:16 	 aghapi 	22-Sep-2016 15:18:06
 23-Sep-2016 11:39:43 	 aghapi 	
 26-Sep-2016 09:12:00 	 aghapi 	26-Sep-2016 16:42:05
 28-Sep-2016 16:22:51 	 aghapi 	28-Sep-2016 17:45:06
 29-Sep-2016 09:03:45 	 aghapi 	
 29-Sep-2016 12:24:59 	 aghapi 	30-Sep-2016 08:18:00
