LoginTime 	 User 	 LogoutTime02-Nov-2016 12:40:14
 02-Nov-2016 12:41:19 	 aghapi 	02-Nov-2016 16:24:34
 03-Nov-2016 13:04:52 	 aghapi 	03-Nov-2016 13:17:16
 08-Nov-2016 09:42:31 	 aghapi 	08-Nov-2016 13:51:20
 09-Nov-2016 10:25:55 	 aghapi 	09-Nov-2016 10:36:52
 09-Nov-2016 13:06:17 	 aghapi 	
 09-Nov-2016 13:09:00 	 aghapi 	
 09-Nov-2016 13:53:01 	 aghapi 	
 09-Nov-2016 15:58:37 	 aghapi 	
 10-Nov-2016 10:50:59 	 aghapi 	10-Nov-2016 11:16:45
 10-Nov-2016 11:17:58 	 aghapi 	10-Nov-2016 11:42:19
 10-Nov-2016 11:42:51 	 aghapi 	
 10-Nov-2016 14:33:30 	 aghapi 	
 11-Nov-2016 14:11:39 	 aghapi 	
 14-Nov-2016 11:39:22 	 aghapi 	14-Nov-2016 11:39:34
 14-Nov-2016 11:39:40 	 aghapi 	
 14-Nov-2016 11:40:27 	 aghapi 	14-Nov-2016 11:46:44
 14-Nov-2016 11:55:00 	 aghapi 	14-Nov-2016 14:31:12
 14-Nov-2016 14:32:07 	 aghapi 	14-Nov-2016 14:32:51
 14-Nov-2016 14:37:37 	 aghapi 	14-Nov-2016 15:57:22
 15-Nov-2016 12:33:45 	 aghapi 	
 17-Nov-2016 14:09:33 	 aghapi 	17-Nov-2016 15:49:58
 18-Nov-2016 11:35:47 	 aghapi 	
 18-Nov-2016 16:34:25 	 aghapi 	
 18-Nov-2016 16:51:05 	 aghapi 	
 21-Nov-2016 13:39:21 	 aghapi 	21-Nov-2016 15:27:46
 22-Nov-2016 09:36:26 	 aghapi 	22-Nov-2016 09:39:57
 22-Nov-2016 12:04:49 	 aghapi 	
 22-Nov-2016 13:47:52 	 aghapi 	
 22-Nov-2016 17:02:57 	 aghapi 	
 23-Nov-2016 08:23:24 	 aghapi 	
 23-Nov-2016 10:35:17 	 aghapi 	23-Nov-2016 15:34:26
 23-Nov-2016 15:47:41 	 aghapi 	
 28-Nov-2016 16:12:13 	 aghapi 	28-Nov-2016 17:03:53
 28-Nov-2016 17:06:15 	 aghapi 	28-Nov-2016 17:06:26
 29-Nov-2016 11:31:21 	 Wei 	29-Nov-2016 11:33:38
 29-Nov-2016 11:34:33 	 aghapi 	29-Nov-2016 11:35:40
 29-Nov-2016 11:45:33 	 aghapi 	30-Nov-2016 11:11:49
 30-Nov-2016 11:16:25 	 Wei 	30-Nov-2016 11:42:28
 30-Nov-2016 11:43:35 	 aghapi 	30-Nov-2016 12:00:39
 30-Nov-2016 12:05:17 	 aghapi 	
