LoginTime 	 User 	 LogoutTime
 05-Feb-2019 14:11:00 	 Yanxiu 	05-Feb-2019 15:28:16
 06-Feb-2019 14:04:09 	 Yanxiu 	
 08-Feb-2019 10:54:42 	 Yanxiu 	
 08-Feb-2019 10:57:03 	 Yanxiu 	
 11-Feb-2019 09:32:54 	 Wei 	
 11-Feb-2019 15:16:15 	 Wei 	
 13-Feb-2019 11:29:16 	 Phuc 	
 13-Feb-2019 12:06:27 	 Phuc 	13-Feb-2019 12:20:18
 14-Feb-2019 09:58:53 	 Phuc 	
 14-Feb-2019 13:51:53 	 Phuc 	
 14-Feb-2019 13:57:42 	 Phuc 	
 15-Feb-2019 15:37:44 	 Phuc 	15-Feb-2019 16:35:07
 18-Feb-2019 09:46:44 	 Phuc 	18-Feb-2019 10:25:54
 18-Feb-2019 11:35:05 	 Phuc 	
 18-Feb-2019 13:59:08 	 Wei 	
 19-Feb-2019 10:09:02 	 Wei 	
 21-Feb-2019 11:44:24 	 Yanxiu 	
 21-Feb-2019 11:45:22 	 Yanxiu 	
 21-Feb-2019 12:11:36 	 Yanxiu 	
 22-Feb-2019 11:36:38 	 Yanxiu 	
 22-Feb-2019 11:46:11 	 Wei 	
 23-Feb-2019 10:52:23 	 Yanxiu 	
 24-Feb-2019 10:52:01 	 Yanxiu 	
 25-Feb-2019 08:47:20 	 Yanxiu 	
 25-Feb-2019 12:59:39 	 Wei 	
 26-Feb-2019 11:23:13 	 Phuc 	
 28-Feb-2019 09:23:19 	 Wei 	
